user_id,discord_id,rsn,clan,total_submissions,total_gained,screenshot_categories,unique_items
681e505a967c46014c32fd96,1049166223973285918,irs can smd,ironclad,4,452.0,1,4
681e5c1d967c46014c32fdba,456301235327205397,bdrigg btw,ironclad,1,195.0,0,1
681e921e967c46014c32fe4d,173926266083344384,bussy good,ironclad,8,1443.0,0,8
681eae68967c46014c32fe8e,461977059611246592,porkwithfork,ironclad,1,440.0,0,1
681eaf79967c46014c32fe92,124474995702235136,nuko miko,ironclad,0,0.0,0,0
681eb009967c46014c32fe95,673288471217045571,chop alone,ironclad,0,0.0,0,0
681ec976967c46014c32fed2,209795412889042944,violetaether,ironclad,0,0.0,0,0
681ee9bc967c46014c32ff25,914611374133510154,ron redberry,ironfoundry,7,578.9,1,7
681f1648967c46014c32ffa7,148464964435312641,a crab,ironclad,100,7249.91,4,70
681f371b967c46014c330006,559015337941663765,dropdead,ironclad,7,361.1,3,5
681f5c94967c46014c3300b5,432856906114138114,gielinorwide,ironclad,0,0.0,1,0
681f77ad967c46014c330130,226092349111926784,gim nitwit,ironfoundry,9,1158.0,1,9
681f7be7967c46014c330141,145620198429425665,diggydogsp,ironfoundry,13,1361.71,0,13
681f9832967c46014c3301a6,275490598205521922,fandoza,ironclad,0,0.0,0,0
681faa17967c46014c3301e5,369233093074223104,hrathi,ironclad,1,440.0,0,1
681fe9bd967c46014c3302ae,550101592246976552,trashpg427,ironfoundry,0,0.0,1,0
681fed44967c46014c3302ba,1112561761414021172,partyhat1971,ironclad,0,0.0,2,0
681fed7e967c46014c3302bc,1125937195807686706,ripgizloki,ironclad,1,26.0,2,1
681ff115967c46014c3302c8,427358638018134016,stovete,ironclad,10,2386.25,0,8
681ffc94967c46014c3302e5,393010260366983168,icemint5k,ironclad,0,0.0,0,0
68207a11967c46014c330495,287881967985229824,fe sango,ironclad,0,0.0,0,0
68207ac2967c46014c33049f,361530260283457548,baked 5eans,ironclad,34,2779.7,2,28
68207b0c967c46014c3304a1,422111430607765533,j ordz,ironclad,15,2253.0,1,14
68207bf9967c46014c3304a6,372513884860317696,myfrequency,ironclad,10,709.42,0,10
68207c3f967c46014c3304a8,259621474891989002,rheon,ironclad,9,950.5,2,8
6820b98b967c46014c3305c2,675794930794496000,smol chal,ironclad,10,572.4,0,9
6820e683967c46014c3306ad,348614037002518528,panurge,ironclad,67,5784.44,5,54
6820fd02967c46014c330716,518230491401551872,clyde cooter,ironclad,6,959.0,2,6
682112f3967c46014c330771,808428871568982046,nikki nugz,ironclad,14,1582.5,1,14
68213563967c46014c3307e5,1322663099429556226,luckiepenny,ironclad,13,2502.21,1,13
682137a7967c46014c3307ee,238129189234933761,abtw,ironfoundry,22,2466.6,3,21
68217579967c46014c330886,340352730164101120,wild hoont,ironclad,11,2337.5,3,11
68222532967c46014c330d4f,257458197520973824,schmeckleton,ironclad,0,0.0,0,0
68226a93967c46014c330e76,276817501969448960,grey wild,ironclad,2,836.0,0,2
68233ba6967c46014c3310ef,707250112895647825,ironchipmunk,ironfoundry,0,0.0,0,0
682342cc967c46014c33110d,177209032073805824,throat hug,ironfoundry,3,708.0,1,3
68238c2a967c46014c33124f,1026566896713224242,gimnullifier,ironfoundry,0,0.0,0,0
6823cdc1967c46014c331347,1178374628373180498,no tweezers,ironclad,10,1238.15,1,9
6823d6ee967c46014c331360,256947220274741248,gimcluwuless,ironclad,4,24.0,5,3
6823da5a967c46014c33136a,712502649601392660,tamedharok69,ironclad,4,735.0,0,4
6824ced4967c46014c331645,811994683751661578,gim salvag3,ironclad,22,2584.0,1,19
6824df02967c46014c331675,512844122529464342,boomer handz,ironclad,0,0.0,0,0
6826313b967c46014c331afa,132720386981756929,mitochondiva,ironfoundry,38,2302.96,3,38
